"public_food_id_compound_id_name","compound_SMILES"
"FOOD00004 _ FDB001014 _ Nicotinic acid","OC(=O)C1=CN=CC=C1"
"FOOD00004 _ FDB001111 _ Chinese tannin","OC1=CC(=CC(O)=C1O)C(=O)OC1=CC(=CC(O)=C1O)C(=O)OCC1OC(OC(=O)C2=CC(O)=C(O)C(OC(=O)C3=CC(O)=C(O)C(O)=C3)=C2)C(OC(=O)C2=CC(O)=C(O)C(OC(=O)C3=CC(O)=C(O)C(O)=C3)=C2)C(OC(=O)C2=CC(O)=C(O)C(OC(=O)C3=CC(O)=C(O)C(O)=C3)=C2)C1OC(=O)C1=CC(O)=C(O)C(OC(=O)C2=CC(O)=C(O)C(O)=C2)=C1"
"FOOD00004 _ FDB001224 _ L-Ascorbic acid","[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO"
"FOOD00004 _ FDB003513 _ Calcium","[Ca++]"
"FOOD00004 _ FDB003520 _ Phosphorus","P"
"FOOD00004 _ FDB003521 _ Potassium","[K+]"
"FOOD00004 _ FDB003523 _ Sodium","[Na]"
"FOOD00004 _ FDB012019 _ beta-Cryptoxanthin","C\C(\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C)=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(C)CC(O)CC1(C)C"
"FOOD00004 _ FDB012160 _ Riboflavine","CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1"
"FOOD00004 _ FDB014613 _ beta-Carotene","C\C(\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C)=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(C)CCCC1(C)C"
"FOOD00004 _ FDB015471 _ Lutein","C\C(\C=C\C=C(/C)\C=C\[C@H]1C(C)=C[C@H](O)CC1(C)C)=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(C)C[C@@H](O)CC1(C)C"
"FOOD00004 _ FDB016251 _ Iron","[Fe]"
"FOOD00004 _ FDB021453 _ Pectic acid","O[C@H]1O[C@@H]([C@H](O[C@H]2O[C@@H]([C@H](O[C@H]3O[C@@H]([C@H](O)[C@H](O)[C@H]3O)C(O)=O)[C@H](O)[C@H]2O)C(O)=O)[C@H](O)[C@H]1O)C(O)=O"
"FOOD00006 _ FDB000446 _ L-Tyrosine","NC(CC1=CC=C(O)C=C1)C(O)=O"
"FOOD00006 _ FDB000474 _ L-Lysine","NCCCC[C@H](N)C(O)=O"
"FOOD00006 _ FDB000484 _ Glycine","NCC(O)=O"
"FOOD00006 _ FDB000556 _ L-Alanine","C[C@H](N)C(O)=O"
"FOOD00006 _ FDB000565 _ alpha-Tocopherol","CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(O1)C(C)=C(C)C(O)=C2C"
"FOOD00006 _ FDB000574 _ Pyridoxine","CC1=C(O)C(CO)=C(CO)C=N1"
"FOOD00006 _ FDB000710 _ Choline","C[N+](C)(C)CCO"
"FOOD00006 _ FDB000846 _ Vanillic acid","COC1=C(O)C=CC(=C1)C(O)=O"
"FOOD00006 _ FDB001014 _ Nicotinic acid","OC(=O)C1=CN=CC=C1"
"FOOD00006 _ FDB001131 _ Sucrose","OCC1OC(CO)(OC2OC(CO)C(O)C(O)C2O)C(O)C1O"
"FOOD00006 _ FDB001224 _ L-Ascorbic acid","[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO"
"FOOD00006 _ FDB001946 _ L-Leucine","CC(C)CC(N)C(O)=O"
"FOOD00006 _ FDB002237 _ Trigonelline","C[N+]1=CC=CC(=C1)C([O-])=O"
"FOOD00006 _ FDB002250 _ L-Tryptophan","N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O"
"FOOD00006 _ FDB002257 _ Arginine","N[C@@H](CCCNC(N)=N)C(O)=O"
