public_food_id_compound_id_name,contribution
FOOD00004 _ FDB001014 _ Nicotinic acid,0.000417143789774
FOOD00004 _ FDB001111 _ Chinese tannin,0.22644948587743
FOOD00004 _ FDB001224 _ L-Ascorbic acid,0.084858965234069
FOOD00004 _ FDB003513 _ Calcium,0.024671075566646
FOOD00004 _ FDB003520 _ Phosphorus,0.040045803818325
FOOD00004 _ FDB003521 _ Potassium,0.273169590332142
FOOD00004 _ FDB003523 _ Sodium,0.004111845927774
FOOD00004 _ FDB012019 _ beta-Cryptoxanthin,2.64588346656787E-06
FOOD00004 _ FDB012160 _ Riboflavine,4.17143789774213E-05
FOOD00004 _ FDB014613 _ beta-Carotene,7.62777215587133E-05
FOOD00004 _ FDB015471 _ Lutein,0.00012871865513
FOOD00004 _ FDB016251 _ Iron,0.000393307001787
FOOD00004 _ FDB021453 _ Pectic acid,0.34563342581292
FOOD00006 _ FDB000446 _ L-Tyrosine,0.003780935577093
FOOD00006 _ FDB000474 _ L-Lysine,0.007301116976456
FOOD00006 _ FDB000484 _ Glycine,0.006388477354399
FOOD00006 _ FDB000556 _ L-Alanine,0.009780472876474
FOOD00006 _ FDB000565 _ alpha-Tocopherol,3.33064159790318E-05
FOOD00006 _ FDB000574 _ Pyridoxine,2.08165099868949E-05
FOOD00006 _ FDB000710 _ Choline,0.001818705609381
FOOD00006 _ FDB000846 _ Vanillic acid,0.000565332587013
FOOD00006 _ FDB001014 _ Nicotinic acid,8.32660399475795E-05
FOOD00006 _ FDB001131 _ Sucrose,0.25034592273713
FOOD00006 _ FDB001224 _ L-Ascorbic acid,0.00302715879441
FOOD00006 _ FDB001946 _ L-Leucine,0.005345460643477
FOOD00006 _ FDB002237 _ Trigonelline,2.84857505083825E-05
FOOD00006 _ FDB002250 _ L-Tryptophan,0.00221641051071
FOOD00006 _ FDB002257 _ Arginine,0.020599580040716
FOOD00006 _ FDB003513 _ Calcium,0.003514703370419
FOOD00006 _ FDB003516 _ Chromium,4.44487268509645E-06
FOOD00006 _ FDB003520 _ Phosphorus,0.004725347767025
FOOD00006 _ FDB003521 _ Potassium,0.025941753866826
FOOD00006 _ FDB003523 _ Sodium,0.002256947924895
FOOD00006 _ FDB003570 _ Aluminum,0.000422136910418
FOOD00006 _ FDB003575 _ Boron,5.03978662840612E-05
FOOD00006 _ FDB003581 _ Cobalt,2.20216763545572E-07
FOOD00006 _ FDB003582 _ Copper,1.23803454132585E-05
FOOD00006 _ FDB003636 _ Manganese,4.27286257625737E-05
FOOD00006 _ FDB003653 _ Molybdenum,2.62945389308146E-06
FOOD00006 _ FDB003668 _ Prostaglandin A-1,2.19121157756788E-06
FOOD00006 _ FDB003713 _ Silicon,8.32660399475795E-05
FOOD00006 _ FDB003717 _ Sulfur,0.004552242052397
FOOD00006 _ FDB003729 _ Zinc,6.02583183831167E-05
FOOD00006 _ FDB003763 _ Arsenic,8.54572515251473E-08
FOOD00006 _ FDB003766 _ Cadmium,4.21808228681817E-07
FOOD00006 _ FDB003777 _ Lead,1.54480416218536E-06
FOOD00006 _ FDB003780 _ Mercury,1.09560578878394E-09
FOOD00006 _ FDB004181 _ Lithium,5.21508355461156E-07
FOOD00006 _ FDB004188 _ Silver,1.00795732568123E-07
FOOD00006 _ FDB008293 _ Pyruvic acid,0.002265712771205
FOOD00006 _ FDB008322 _ Pantothenic acid,1.8625298409327E-05
FOOD00006 _ FDB010494 _ Diphenylamine,0.012067002157666
FOOD00006 _ FDB010508 _ 4-Hydroxybenzoic acid,0.0002344596388
FOOD00006 _ FDB011824 _ beta-D-Glucopyranose,0.285514868557095
FOOD00006 _ FDB011856 _ L-Histidine,0.00247716468844
FOOD00006 _ FDB011904 _ Quercetin,0.052698638440508
FOOD00006 _ FDB011999 _ L-Threonine,0.003650558488228
FOOD00006 _ FDB012160 _ Riboflavine,1.68723291472727E-05
FOOD00006 _ FDB012397 _ L-Isoleucine,0.005475837732342
FOOD00006 _ FDB012528 _ D-Fructose,0.250017241000495
FOOD00006 _ FDB012563 _ L-Cystine,0.002737918866171
FOOD00006 _ FDB012567 _ L-Aspartic acid,0.008334273235279
FOOD00006 _ FDB012683 _ L-Methionine,0.001303770888653
FOOD00006 _ FDB012739 _ L-Serine,0.004563198110285
FOOD00006 _ FDB012858 _ Oleic acid,0.002695190240408
FOOD00006 _ FDB013400 _ Selenium,4.38242315513576E-09
FOOD00006 _ FDB013444 _ Nickel,2.79379476139905E-06
FOOD00006 _ FDB013879 _ Phloroglucinol,0.000219121157757
FOOD00006 _ FDB014613 _ beta-Carotene,5.69715010167649E-05
FOOD00006 _ FDB016251 _ Iron,0.000150097993063
FOOD00006 _ FDB017095 _ Quercetin 4'-glucoside,0.012489905992137
FOOD00009 _ FDB000446 _ L-Tyrosine,0.028859400484553
